2022-12-27 11:45:09 INFO     Moved json to: E:\PhD\MachineLearning\CSGOData\ParsedDemos\inferno\unique-vs-sprout-inferno_70405.json
2022-12-27 11:45:09 INFO     Analyzed a total of 1 demos!
2022-12-27 11:45:09 INFO     D:\Downloads\Demos\70403.rar has been deleted!
2022-12-27 11:45:09 INFO     D:\Downloads\Demos\70406.rar has been created!
2022-12-27 11:45:09 INFO     D:\Downloads\Demos\70404.rar has been deleted!
2022-12-27 11:45:09 INFO     D:\Downloads\Demos\70406.rar has been modified!
2022-12-27 11:45:11 INFO     Calling analyzer_sorter: analyzer = demo_analyzer_sorter.DemoAnalyzerSorter(indentation=True,dirs=[D:\Downloads\Demos\70406\],log=None,maps_dir='E:\PhD\MachineLearning\CSGOData\ParsedDemos',json_ending=_70406)
2022-12-27 11:45:11 INFO     Scanning directory: D:\Downloads\Demos\70406\
2022-12-27 11:45:11 INFO     At file: 1shot-vs-forze-m1-mirage.dem
2022-12-27 11:45:17 INFO     Source: D:\Downloads\Demos\70406\1shot-vs-forze-m1-mirage.json
2022-12-27 11:45:17 INFO     Destination: E:\PhD\MachineLearning\CSGOData\ParsedDemos\mirage\1shot-vs-forze-m1-mirage_70406.json
2022-12-27 11:45:17 INFO     Moved json to: E:\PhD\MachineLearning\CSGOData\ParsedDemos\mirage\1shot-vs-forze-m1-mirage_70406.json
2022-12-27 11:45:17 INFO     At file: 1shot-vs-forze-m2-inferno.dem
2022-12-27 11:45:21 INFO     Source: D:\Downloads\Demos\70406\1shot-vs-forze-m2-inferno.json
2022-12-27 11:45:21 INFO     Destination: E:\PhD\MachineLearning\CSGOData\ParsedDemos\inferno\1shot-vs-forze-m2-inferno_70406.json
2022-12-27 11:45:21 INFO     Moved json to: E:\PhD\MachineLearning\CSGOData\ParsedDemos\inferno\1shot-vs-forze-m2-inferno_70406.json
2022-12-27 11:45:21 INFO     Analyzed a total of 2 demos!
2022-12-27 11:45:21 INFO     D:\Downloads\Demos\70407.rar has been created!
2022-12-27 11:45:21 INFO     D:\Downloads\Demos\70405.rar has been deleted!
2022-12-27 11:45:21 INFO     D:\Downloads\Demos\70407.rar has been modified!
2022-12-27 11:45:23 INFO     Calling analyzer_sorter: analyzer = demo_analyzer_sorter.DemoAnalyzerSorter(indentation=True,dirs=[D:\Downloads\Demos\70407\],log=None,maps_dir='E:\PhD\MachineLearning\CSGOData\ParsedDemos',json_ending=_70407)
2022-12-27 11:45:23 INFO     Scanning directory: D:\Downloads\Demos\70407\
2022-12-27 11:45:23 INFO     At file: underground-kings-vs-omega-m1-overpass.dem
2022-12-27 11:45:26 INFO     Source: D:\Downloads\Demos\70407\underground-kings-vs-omega-m1-overpass.json
2022-12-27 11:45:26 INFO     Destination: E:\PhD\MachineLearning\CSGOData\ParsedDemos\overpass\underground-kings-vs-omega-m1-overpass_70407.json
2022-12-27 11:45:26 INFO     Moved json to: E:\PhD\MachineLearning\CSGOData\ParsedDemos\overpass\underground-kings-vs-omega-m1-overpass_70407.json
2022-12-27 11:45:26 INFO     At file: underground-kings-vs-omega-m2-vertigo.dem
2022-12-27 11:45:30 INFO     Source: D:\Downloads\Demos\70407\underground-kings-vs-omega-m2-vertigo.json
2022-12-27 11:45:30 INFO     Destination: E:\PhD\MachineLearning\CSGOData\ParsedDemos\vertigo\underground-kings-vs-omega-m2-vertigo_70407.json
2022-12-27 11:45:30 INFO     Moved json to: E:\PhD\MachineLearning\CSGOData\ParsedDemos\vertigo\underground-kings-vs-omega-m2-vertigo_70407.json
2022-12-27 11:45:30 INFO     At file: underground-kings-vs-omega-m3-inferno.dem
2022-12-27 11:45:33 INFO     Source: D:\Downloads\Demos\70407\underground-kings-vs-omega-m3-inferno.json
2022-12-27 11:45:33 INFO     Destination: E:\PhD\MachineLearning\CSGOData\ParsedDemos\inferno\underground-kings-vs-omega-m3-inferno_70407.json
2022-12-27 11:45:33 INFO     Moved json to: E:\PhD\MachineLearning\CSGOData\ParsedDemos\inferno\underground-kings-vs-omega-m3-inferno_70407.json
2022-12-27 11:45:33 INFO     Analyzed a total of 3 demos!
2022-12-27 11:45:33 INFO     D:\Downloads\Demos\70408.rar has been created!
2022-12-27 11:45:33 INFO     D:\Downloads\Demos\70408.rar has been modified!
2022-12-27 11:45:35 INFO     Calling analyzer_sorter: analyzer = demo_analyzer_sorter.DemoAnalyzerSorter(indentation=True,dirs=[D:\Downloads\Demos\70408\],log=None,maps_dir='E:\PhD\MachineLearning\CSGOData\ParsedDemos',json_ending=_70408)
2022-12-27 11:45:35 INFO     Scanning directory: D:\Downloads\Demos\70408\
2022-12-27 11:45:35 INFO     At file: kinship-vs-apeks-legends-m1-mirage.dem
2022-12-27 11:45:37 INFO     Source: D:\Downloads\Demos\70408\kinship-vs-apeks-legends-m1-mirage.json
2022-12-27 11:45:37 INFO     Destination: E:\PhD\MachineLearning\CSGOData\ParsedDemos\mirage\kinship-vs-apeks-legends-m1-mirage_70408.json
2022-12-27 11:45:37 INFO     Moved json to: E:\PhD\MachineLearning\CSGOData\ParsedDemos\mirage\kinship-vs-apeks-legends-m1-mirage_70408.json
2022-12-27 11:45:37 INFO     At file: kinship-vs-apeks-legends-m2-overpass.dem
2022-12-27 11:45:40 INFO     Source: D:\Downloads\Demos\70408\kinship-vs-apeks-legends-m2-overpass.json
2022-12-27 11:45:40 INFO     Destination: E:\PhD\MachineLearning\CSGOData\ParsedDemos\overpass\kinship-vs-apeks-legends-m2-overpass_70408.json
2022-12-27 11:45:40 INFO     Moved json to: E:\PhD\MachineLearning\CSGOData\ParsedDemos\overpass\kinship-vs-apeks-legends-m2-overpass_70408.json
2022-12-27 11:45:40 INFO     Analyzed a total of 2 demos!
2022-12-27 11:45:40 INFO     D:\Downloads\Demos\70409.rar has been created!
2022-12-27 11:45:40 INFO     D:\Downloads\Demos\70406.rar has been deleted!
2022-12-27 11:45:40 INFO     D:\Downloads\Demos\70407.rar has been deleted!
2022-12-27 11:45:40 INFO     D:\Downloads\Demos\70408.rar has been deleted!
2022-12-27 11:47:00 INFO     D:\Downloads\Demos\70409.rar has been modified!
2022-12-27 11:47:03 INFO     Could not extract from archive due to exception Command `['C:\\Program Files\\WinRAR\\rar.EXE', 'x', '-p-', '-y', '--', 'D:\\Downloads\\Demos\\70409.rar']' returned non-zero exit status 3. Skipping!
2022-12-27 11:47:25 INFO     D:\Downloads\Demos\70409.rar has been modified!
2022-12-27 11:47:30 INFO     D:\Downloads\Demos\70409.rar has been deleted!
2022-12-27 11:48:00 INFO     D:\Downloads\Demos\70409.rar has been created!
2022-12-27 11:48:10 INFO     D:\Downloads\Demos\70409.rar has been modified!
2022-12-27 11:48:12 INFO     Calling analyzer_sorter: analyzer = demo_analyzer_sorter.DemoAnalyzerSorter(indentation=True,dirs=[D:\Downloads\Demos\70409\],log=None,maps_dir='E:\PhD\MachineLearning\CSGOData\ParsedDemos',json_ending=_70409)
2022-12-27 11:48:12 INFO     Scanning directory: D:\Downloads\Demos\70409\
2022-12-27 11:48:12 INFO     At file: sharks-vs-case-m1-ancient.dem
2022-12-27 11:48:17 INFO     Source: D:\Downloads\Demos\70409\sharks-vs-case-m1-ancient.json
2022-12-27 11:48:17 INFO     Destination: E:\PhD\MachineLearning\CSGOData\ParsedDemos\ancient\sharks-vs-case-m1-ancient_70409.json
2022-12-27 11:48:17 INFO     Moved json to: E:\PhD\MachineLearning\CSGOData\ParsedDemos\ancient\sharks-vs-case-m1-ancient_70409.json
2022-12-27 11:48:17 INFO     At file: sharks-vs-case-m2-dust2.dem
2022-12-27 11:48:24 INFO     Source: D:\Downloads\Demos\70409\sharks-vs-case-m2-dust2.json
2022-12-27 11:48:24 INFO     Destination: E:\PhD\MachineLearning\CSGOData\ParsedDemos\dust2\sharks-vs-case-m2-dust2_70409.json
2022-12-27 11:48:24 INFO     Moved json to: E:\PhD\MachineLearning\CSGOData\ParsedDemos\dust2\sharks-vs-case-m2-dust2_70409.json
2022-12-27 11:48:24 INFO     At file: sharks-vs-case-m3-mirage.dem
2022-12-27 11:48:29 INFO     Source: D:\Downloads\Demos\70409\sharks-vs-case-m3-mirage.json
2022-12-27 11:48:29 INFO     Destination: E:\PhD\MachineLearning\CSGOData\ParsedDemos\mirage\sharks-vs-case-m3-mirage_70409.json
2022-12-27 11:48:29 INFO     Moved json to: E:\PhD\MachineLearning\CSGOData\ParsedDemos\mirage\sharks-vs-case-m3-mirage_70409.json
2022-12-27 11:48:29 INFO     Analyzed a total of 3 demos!
2022-12-27 11:48:29 INFO     D:\Downloads\Demos\70409.rar has been deleted!
2022-12-27 11:48:29 INFO     D:\Downloads\Demos\70410.rar has been created!
2022-12-27 11:48:29 INFO     D:\Downloads\Demos\70410.rar has been modified!
2022-12-27 11:48:32 INFO     Calling analyzer_sorter: analyzer = demo_analyzer_sorter.DemoAnalyzerSorter(indentation=True,dirs=[D:\Downloads\Demos\70410\],log=None,maps_dir='E:\PhD\MachineLearning\CSGOData\ParsedDemos',json_ending=_70410)
2022-12-27 11:48:32 INFO     Scanning directory: D:\Downloads\Demos\70410\
2022-12-27 11:48:32 INFO     At file: 9z-vs-b4-m1-ancient.dem
2022-12-27 11:48:37 INFO     Source: D:\Downloads\Demos\70410\9z-vs-b4-m1-ancient.json
2022-12-27 11:48:37 INFO     Destination: E:\PhD\MachineLearning\CSGOData\ParsedDemos\ancient\9z-vs-b4-m1-ancient_70410.json
2022-12-27 11:48:37 INFO     Moved json to: E:\PhD\MachineLearning\CSGOData\ParsedDemos\ancient\9z-vs-b4-m1-ancient_70410.json
2022-12-27 11:48:37 INFO     At file: 9z-vs-b4-m2-nuke.dem
2022-12-27 11:48:43 INFO     Source: D:\Downloads\Demos\70410\9z-vs-b4-m2-nuke.json
2022-12-27 11:48:43 INFO     Destination: E:\PhD\MachineLearning\CSGOData\ParsedDemos\nuke\9z-vs-b4-m2-nuke_70410.json
2022-12-27 11:48:43 INFO     Moved json to: E:\PhD\MachineLearning\CSGOData\ParsedDemos\nuke\9z-vs-b4-m2-nuke_70410.json
2022-12-27 11:48:43 INFO     At file: 9z-vs-b4-m3-inferno.dem
2022-12-27 11:48:49 INFO     Source: D:\Downloads\Demos\70410\9z-vs-b4-m3-inferno.json
2022-12-27 11:48:49 INFO     Destination: E:\PhD\MachineLearning\CSGOData\ParsedDemos\inferno\9z-vs-b4-m3-inferno_70410.json
2022-12-27 11:48:49 INFO     Moved json to: E:\PhD\MachineLearning\CSGOData\ParsedDemos\inferno\9z-vs-b4-m3-inferno_70410.json
2022-12-27 11:48:49 INFO     Analyzed a total of 3 demos!
2022-12-27 11:48:49 INFO     D:\Downloads\Demos\70411.rar has been created!
2022-12-27 11:48:49 INFO     D:\Downloads\Demos\70410.rar has been deleted!
2022-12-27 11:48:49 INFO     D:\Downloads\Demos\70411.rar has been modified!
2022-12-27 11:48:51 INFO     Calling analyzer_sorter: analyzer = demo_analyzer_sorter.DemoAnalyzerSorter(indentation=True,dirs=[D:\Downloads\Demos\70411\],log=None,maps_dir='E:\PhD\MachineLearning\CSGOData\ParsedDemos',json_ending=_70411)
2022-12-27 11:48:51 INFO     Scanning directory: D:\Downloads\Demos\70411\
2022-12-27 11:48:51 INFO     At file: monkey-business-vs-prison-break-m1-nuke.dem
2022-12-27 11:48:54 INFO     Source: D:\Downloads\Demos\70411\monkey-business-vs-prison-break-m1-nuke.json
2022-12-27 11:48:54 INFO     Destination: E:\PhD\MachineLearning\CSGOData\ParsedDemos\nuke\monkey-business-vs-prison-break-m1-nuke_70411.json
2022-12-27 11:48:54 INFO     Moved json to: E:\PhD\MachineLearning\CSGOData\ParsedDemos\nuke\monkey-business-vs-prison-break-m1-nuke_70411.json
2022-12-27 11:48:54 INFO     At file: monkey-business-vs-prison-break-m2-mirage.dem
2022-12-27 11:48:56 INFO     Source: D:\Downloads\Demos\70411\monkey-business-vs-prison-break-m2-mirage.json
2022-12-27 11:48:56 INFO     Destination: E:\PhD\MachineLearning\CSGOData\ParsedDemos\mirage\monkey-business-vs-prison-break-m2-mirage_70411.json
2022-12-27 11:48:56 INFO     Moved json to: E:\PhD\MachineLearning\CSGOData\ParsedDemos\mirage\monkey-business-vs-prison-break-m2-mirage_70411.json
2022-12-27 11:48:56 INFO     Analyzed a total of 2 demos!
2022-12-27 11:48:56 INFO     D:\Downloads\Demos\70412.rar has been created!
2022-12-27 11:48:56 INFO     D:\Downloads\Demos\70412.rar has been modified!
2022-12-27 11:48:58 INFO     Calling analyzer_sorter: analyzer = demo_analyzer_sorter.DemoAnalyzerSorter(indentation=True,dirs=[D:\Downloads\Demos\70412\],log=None,maps_dir='E:\PhD\MachineLearning\CSGOData\ParsedDemos',json_ending=_70412)
2022-12-27 11:48:58 INFO     Scanning directory: D:\Downloads\Demos\70412\
2022-12-27 11:48:58 INFO     At file: isurus-vs-00nation-m1-overpass.dem
2022-12-27 11:49:03 INFO     Source: D:\Downloads\Demos\70412\isurus-vs-00nation-m1-overpass.json
2022-12-27 11:49:03 INFO     Destination: E:\PhD\MachineLearning\CSGOData\ParsedDemos\overpass\isurus-vs-00nation-m1-overpass_70412.json
2022-12-27 11:49:03 INFO     Moved json to: E:\PhD\MachineLearning\CSGOData\ParsedDemos\overpass\isurus-vs-00nation-m1-overpass_70412.json
2022-12-27 11:49:03 INFO     At file: isurus-vs-00nation-m2-mirage.dem
2022-12-27 11:49:11 INFO     Source: D:\Downloads\Demos\70412\isurus-vs-00nation-m2-mirage.json
2022-12-27 11:49:11 INFO     Destination: E:\PhD\MachineLearning\CSGOData\ParsedDemos\mirage\isurus-vs-00nation-m2-mirage_70412.json
2022-12-27 11:49:11 INFO     Moved json to: E:\PhD\MachineLearning\CSGOData\ParsedDemos\mirage\isurus-vs-00nation-m2-mirage_70412.json
2022-12-27 11:49:11 INFO     At file: isurus-vs-00nation-m3-nuke.dem
2022-12-27 11:49:15 INFO     Source: D:\Downloads\Demos\70412\isurus-vs-00nation-m3-nuke.json
2022-12-27 11:49:15 INFO     Destination: E:\PhD\MachineLearning\CSGOData\ParsedDemos\nuke\isurus-vs-00nation-m3-nuke_70412.json
2022-12-27 11:49:15 INFO     Moved json to: E:\PhD\MachineLearning\CSGOData\ParsedDemos\nuke\isurus-vs-00nation-m3-nuke_70412.json
2022-12-27 11:49:15 INFO     Analyzed a total of 3 demos!
2022-12-27 11:49:15 INFO     D:\Downloads\Demos\70411.rar has been deleted!
2022-12-27 11:49:15 INFO     D:\Downloads\Demos\70413.rar has been created!
2022-12-27 11:49:15 INFO     D:\Downloads\Demos\70413.rar has been modified!
